city,timestamp,temperature,season
New York,2010-01-01,-3.0826322752118362,winter
New York,2010-01-02,-3.5553779260898857,winter
New York,2010-01-03,-8.983401645017716,winter
New York,2010-01-04,4.949923646190124,winter
New York,2010-01-05,-5.559874889504956,winter
New York,2010-01-06,-4.727266194437275,winter
New York,2010-01-07,1.2961754310347338,winter
New York,2010-01-08,2.804815271808954,winter
New York,2010-01-09,-4.084615844404396,winter
New York,2010-01-10,-7.107790966496079,winter
New York,2010-01-11,-1.761386579648564,winter
New York,2010-01-12,7.36105805397821,winter
New York,2010-01-13,10.441982733117456,winter
New York,2010-01-14,-3.9015634101733965,winter
New York,2010-01-15,0.2634152743903897,winter
New York,2010-01-16,5.936858354839933,winter
New York,2010-01-17,2.516321990538583,winter
New York,2010-01-18,-0.17120963965689032,winter
New York,2010-01-19,0.08977196568213178,winter
New York,2010-01-20,4.68742314333298,winter
New York,2010-01-21,-11.000320593371702,winter
New York,2010-01-22,2.6733119137438432,winter
New York,2010-01-23,5.221717718710035,winter
New York,2010-01-24,-4.733858269962708,winter
New York,2010-01-25,-6.615652861596003,winter
New York,2010-01-26,4.661533979443923,winter
New York,2010-01-27,2.8370970353742555,winter
New York,2010-01-28,3.1399903710857666,winter
New York,2010-01-29,6.818700460642644,winter
New York,2010-01-30,2.8303119352646124,winter
New York,2010-01-31,6.41211759618808,winter
New York,2010-02-01,-2.2705300113502465,winter
New York,2010-02-02,-2.3248787895139427,winter
New York,2010-02-03,3.478120560396749,winter
New York,2010-02-04,8.982538451061101,winter
New York,2010-02-05,-11.392030769681327,winter
New York,2010-02-06,-1.085769953234369,winter
New York,2010-02-07,-7.064204405297241,winter
New York,2010-02-08,0.4473961185807547,winter
New York,2010-02-09,2.6258458149613837,winter
New York,2010-02-10,8.459514718247586,winter
New York,2010-02-11,-2.6093665682066587,winter
New York,2010-02-12,-1.4067408350822876,winter
New York,2010-02-13,-4.443553806636177,winter
New York,2010-02-14,-2.6787620386416666,winter
New York,2010-02-15,0.6557026866333137,winter
New York,2010-02-16,8.794990590296738,winter
New York,2010-02-17,-5.150365840154148,winter
New York,2010-02-18,1.9169986614252201,winter
New York,2010-02-19,0.663399303254521,winter
New York,2010-02-20,0.2217142931045441,winter
New York,2010-02-21,-2.4819618004913275,winter
New York,2010-02-22,2.1701326783479638,winter
New York,2010-02-23,5.797145618732621,winter
New York,2010-02-24,-5.145899051802498,winter
New York,2010-02-25,4.5575166810821495,winter
New York,2010-02-26,-4.666072599103402,winter
New York,2010-02-27,-3.5156211712403804,winter
New York,2010-02-28,1.0395663997945106,winter
New York,2010-03-01,14.977617754554672,spring
New York,2010-03-02,7.863373934360554,spring
New York,2010-03-03,9.036273202724248,spring
New York,2010-03-04,2.469395769046309,spring
New York,2010-03-05,14.84301614204052,spring
New York,2010-03-06,7.9671922451633055,spring
New York,2010-03-07,13.36108354846085,spring
New York,2010-03-08,1.4525451509521758,spring
New York,2010-03-09,13.60448935268007,spring
New York,2010-03-10,9.732091262019955,spring
New York,2010-03-11,7.2824575565405825,spring
New York,2010-03-12,9.96653339619234,spring
New York,2010-03-13,6.58425702717786,spring
New York,2010-03-14,-1.8762281546659665,spring
New York,2010-03-15,8.28632135172951,spring
New York,2010-03-16,5.1155210728870655,spring
New York,2010-03-17,8.547001179234183,spring
New York,2010-03-18,3.259232793222898,spring
New York,2010-03-19,4.556461407461429,spring
New York,2010-03-20,5.326393107973452,spring
New York,2010-03-21,18.748940495341685,spring
New York,2010-03-22,9.399784655803543,spring
New York,2010-03-23,11.02254025410622,spring
New York,2010-03-24,12.538768518129602,spring
New York,2010-03-25,12.445390682732363,spring
New York,2010-03-26,6.51932359501277,spring
New York,2010-03-27,9.077671642497602,spring
New York,2010-03-28,9.482189637813589,spring
New York,2010-03-29,11.885435806528964,spring
New York,2010-03-30,9.358875632718298,spring
New York,2010-03-31,14.308449078735546,spring
New York,2010-04-01,10.878606914992215,spring
New York,2010-04-02,10.79426402994093,spring
New York,2010-04-03,16.849804023464536,spring
New York,2010-04-04,10.119036681502621,spring
New York,2010-04-05,7.305426433873036,spring
